Laowa 180mm F4.5 1.5X Ultra Macro APO	laowa-venus-optics	2025-09-16	lenses	CanonEF|CanonEFS|CanonRF|CanonRFS|LeicaSL|SonyE|SonyFE	180-undefinedmm
OM System M.Zuiko Digital ED 50-200mm F2.8 IS Pro	om-system-olympus	2025-09-10	lenses	MicroFourThirds	50-200mm
Nikon ZR	nikon	2025-09-10	slrs		
Canon PowerShot ELPH 360 HS A	canon	2025-09-09	compacts		
Canon RF 85mm F1.4 L VCM	canon	2025-09-09	lenses	CanonRF|CanonRFS	85mm
Sigma 135mm F1.4 DG Art	sigma	2025-09-09	lenses	LeicaSL|SonyE|SonyFE	135mm
Sigma 20-200mm F3.5-6.3 DG Contemporary	sigma	2025-09-09	lenses	LeicaSL|SonyE|SonyFE	20-200mm
Sigma 35mm F1.2 DG II Art	sigma	2025-09-09	lenses	LeicaSL|SonyE|SonyFE	35mm
7Artisans AF 35mm F1.8	7artisans	2025-09-05	lenses	LeicaSL|NikonZ|SonyE|SonyFE	35mm
Viltrox AF 56mm F1.2 Pro	viltrox	2025-09-01	lenses	FujifilmX|SonyE	
Hasselblad X2D II 100C	hasselblad	2025-08-26	slrs		
Hasselblad XCD 35-100mm F2.8-4 E	hasselblad	2025-08-26	lenses	HasselbladX	35-100mm
Nikon Nikkor Z 24-70mm F2.8 S II	nikon	2025-08-22	lenses	NikonZ	24-70mm
Sigma 200mm F2 DG OS Sports	sigma	2025-08-19	lenses	LeicaSL|SonyE|SonyFE	200mm
Sigma 12mm F1.4 DC Contemporary	sigma	2025-08-19	lenses	CanonRFS|FujifilmX|SonyE	12mm
Viltrox AF 15mm F1.7 Air	viltrox	2025-07-30	lenses	FujifilmX|NikonZ|SonyE	15mm
Sony DSC-RX1R III	sony	2025-07-15	compacts		
Tamron 16-30mm F2.8 Di III VXD G2	tamron	2025-07-01	lenses	NikonZ|SonyE|SonyFE	16-30mm
Venus Laowa 12mm F2.8 Lite Zero-D FF	laowa-venus-optics	2025-06-26	lenses	CanonRF|CanonRFS|LeicaSL|NikonZ|SonyE|SonyFE	12-undefinedmm
OM System OM-5 II	om-system-olympus	2025-06-17	slrs		
Sigma 17-40mm F1.8 DC | Art	sigma	2025-06-17	lenses	CanonRFS|FujifilmX|LeicaSL|SonyE	17-40mm
Fujifilm X-E5	fujifilm	2025-06-12	slrs		
Fujifilm XF 23mm F2.8 R WR	fujifilm	2025-06-12	lenses	FujifilmX	23mm
Sony FX2	sony	2025-05-28	slrs		
7Artisans AF 24mm F1.8	7artisans	2025-05-27	lenses	SonyE|SonyFE	24mm
Fujifilm X half	fujifilm	2025-05-22	compacts		
Ricoh GR IV	ricoh	2025-05-21	compacts		
Panasonic Lumix DC-S1II	panasonic	2025-05-13	slrs		
Panasonic Lumix DC-S1IIE	panasonic	2025-05-13	slrs		
Panasonic Lumix S 24-60mm F2.8	panasonic	2025-05-13	lenses	LeicaSL	24-60mm
Canon RF 75-300mm f/4.0-5.6	canon	2025-04-29	lenses	CanonRF|CanonRFS	75-300mm
LK Samyang AF 14-24mm F2.8	samyang-rokinon	2025-04-22	lenses	LeicaSL|SonyE|SonyFE	14-24mm
Sony FE 50-150mm F2 GM	sony	2025-04-22	lenses	SonyE|SonyFE	50-150mm
Viltrox AF 35mm F1.2 Lab	viltrox	2025-04-16	lenses	NikonZ|SonyE|SonyFE	35mm
